INFO 2024-11-09 03:53:33,429 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-09 03:53:33,434 autoreload Waiting for apps ready_event.
DEBUG 2024-11-09 03:53:33,483 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-09 03:53:33,529 autoreload Watching dir G:\Development\hh_test_01\shortener\templates with glob **/*.
DEBUG 2024-11-09 03:53:33,529 autoreload Watching dir G:\Development\hh_test_01\templates with glob **/*.
DEBUG 2024-11-09 03:53:33,529 autoreload Watching dir G:\Development\hh_test_01\locale with glob **/*.mo.
DEBUG 2024-11-09 03:53:33,534 autoreload Watching dir G:\Development\hh_test_01\shortener\locale with glob **/*.mo.
DEBUG 2024-11-09 03:53:33,611 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-09 03:53:33,619 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-09 03:53:33,967 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\struct.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:33,969 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1729716369.369628
DEBUG 2024-11-09 03:53:33,969 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1729716372.6745458
DEBUG 2024-11-09 03:53:33,974 autoreload File G:\Development\hh_test_01\shortener\admin.py first seen with mtime 1730436177.1660914
DEBUG 2024-11-09 03:53:33,977 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\fnmatch.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:33,979 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\views\generic\list.py first seen with mtime 1729716377.301293
DEBUG 2024-11-09 03:53:33,979 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\forms\models.py first seen with mtime 1729716377.0013833
DEBUG 2024-11-09 03:53:33,979 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\types.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:33,984 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\version.py first seen with mtime 1729716377.2679272
DEBUG 2024-11-09 03:53:33,984 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\email\encoders.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:33,987 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1729716377.1846132
DEBUG 2024-11-09 03:53:33,989 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1729716376.667926
DEBUG 2024-11-09 03:53:33,989 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:33,994 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\email\contentmanager.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:33,997 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1729716376.688881
DEBUG 2024-11-09 03:53:33,999 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1729716372.6745458
DEBUG 2024-11-09 03:53:33,999 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1729716376.6835518
DEBUG 2024-11-09 03:53:34,024 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,035 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1729716376.688881
DEBUG 2024-11-09 03:53:34,041 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\move.py first seen with mtime 1729716376.688881
DEBUG 2024-11-09 03:53:34,044 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\queue.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,051 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\DLLs\_socket.pyd first seen with mtime 1712087000.0
DEBUG 2024-11-09 03:53:34,054 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\sysconfig.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,054 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1729716376.9845264
DEBUG 2024-11-09 03:53:34,054 autoreload File G:\Development\hh_test_01\manage.py first seen with mtime 1729439320.7177105
DEBUG 2024-11-09 03:53:34,059 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1729716377.1846132
DEBUG 2024-11-09 03:53:34,061 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\http\client.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,064 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\concurrent\__init__.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,064 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1729716371.4515066
DEBUG 2024-11-09 03:53:34,064 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1729716372.6857016
DEBUG 2024-11-09 03:53:34,064 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1729716376.9048042
DEBUG 2024-11-09 03:53:34,064 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\encodings\cp1252.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,069 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\images.py first seen with mtime 1729716376.688881
DEBUG 2024-11-09 03:53:34,071 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1729716376.9048042
DEBUG 2024-11-09 03:53:34,071 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\models\enums.py first seen with mtime 1729716376.934635
DEBUG 2024-11-09 03:53:34,074 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1729716376.667926
DEBUG 2024-11-09 03:53:34,074 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\asyncio\queues.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,078 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1729716372.3564103
DEBUG 2024-11-09 03:53:34,079 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\smartif.py first seen with mtime 1729716377.1679204
DEBUG 2024-11-09 03:53:34,079 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\_compression.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,081 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\utils.py first seen with mtime 1729716376.688881
DEBUG 2024-11-09 03:53:34,081 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\reprlib.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,083 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1729716376.6181266
DEBUG 2024-11-09 03:53:34,083 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1729716376.7348104
DEBUG 2024-11-09 03:53:34,083 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1729716376.6181266
DEBUG 2024-11-09 03:53:34,083 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\forms\widgets.py first seen with mtime 1729716377.0172596
DEBUG 2024-11-09 03:53:34,083 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1729716375.185034
DEBUG 2024-11-09 03:53:34,083 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,089 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\management\base.py first seen with mtime 1729716376.7348104
DEBUG 2024-11-09 03:53:34,089 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1729716377.2512233
DEBUG 2024-11-09 03:53:34,089 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1729716376.9678748
DEBUG 2024-11-09 03:53:34,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1729716375.853858
DEBUG 2024-11-09 03:53:34,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\templatetags\static.py first seen with mtime 1729716377.1846132
DEBUG 2024-11-09 03:53:34,095 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1729716283.718434
DEBUG 2024-11-09 03:53:34,095 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:53:34,095 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1729716369.3852603
DEBUG 2024-11-09 03:53:34,095 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\sqlparse\sql.py first seen with mtime 1729716369.369628
DEBUG 2024-11-09 03:53:34,099 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1729716371.4571085
DEBUG 2024-11-09 03:53:34,099 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1729716377.1679204
