INFO 2024-11-12 01:46:36,692 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-12 01:46:36,693 autoreload Waiting for apps ready_event.
DEBUG 2024-11-12 01:46:36,726 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-12 01:46:36,758 autoreload Watching dir G:\Development\hh_test_01\templates with glob **/*.
DEBUG 2024-11-12 01:46:36,758 autoreload Watching dir G:\Development\hh_test_01\shortener\templates with glob **/*.
DEBUG 2024-11-12 01:46:36,758 autoreload Watching dir G:\Development\hh_test_01\locale with glob **/*.mo.
DEBUG 2024-11-12 01:46:36,762 autoreload Watching dir G:\Development\hh_test_01\shortener\locale with glob **/*.mo.
DEBUG 2024-11-12 01:46:36,811 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-12 01:46:36,813 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1729716376.934635
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\safestring.py first seen with mtime 1729716377.2512233
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\smartif.py first seen with mtime 1729716377.1679204
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1729716376.6181266
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1729716376.6513376
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\thread.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\DLLs\_zoneinfo.pyd first seen with mtime 1712087000.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1729716376.8347976
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1729716376.900559
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\email\encoders.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\conf\__init__.py first seen with mtime 1729716370.7859507
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\pkgutil.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1729716376.667926
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\sqlite3\__init__.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1729716376.667926
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1729716376.8347976
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1729716376.9221234
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\urllib\__init__.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\dataclasses.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\glob.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1729716376.9678748
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\email\_header_value_parser.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\email\feedparser.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1729716376.9678748
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1729716372.6857016
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1729716377.2846913
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\asyncio\format_helpers.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1729716376.7889283
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\engine.py first seen with mtime 1729716377.1679204
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1729716376.900559
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1729716371.4571085
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1729716377.2345111
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1729716373.068822
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1729716377.2220016
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1729716376.9048042
DEBUG 2024-11-12 01:46:37,091 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\collections\abc.py first seen with mtime 1712086974.0
DEBUG 2024-11-12 01:46:37,091 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1729716376.6346865
