INFO 2024-11-09 03:54:27,223 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-09 03:54:27,229 autoreload Waiting for apps ready_event.
DEBUG 2024-11-09 03:54:27,258 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-09 03:54:27,293 autoreload Watching dir G:\Development\hh_test_01\templates with glob **/*.
DEBUG 2024-11-09 03:54:27,293 autoreload Watching dir G:\Development\hh_test_01\shortener\templates with glob **/*.
DEBUG 2024-11-09 03:54:27,299 autoreload Watching dir G:\Development\hh_test_01\locale with glob **/*.mo.
DEBUG 2024-11-09 03:54:27,300 autoreload Watching dir G:\Development\hh_test_01\shortener\locale with glob **/*.mo.
DEBUG 2024-11-09 03:54:27,350 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-11-09 03:54:27,360 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-11-09 03:54:27,585 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\duration.py first seen with mtime 1729716377.2345111
DEBUG 2024-11-09 03:54:27,589 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1729716369.3852603
DEBUG 2024-11-09 03:54:27,589 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1729716376.7348104
DEBUG 2024-11-09 03:54:27,589 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\pkgutil.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,589 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1729716376.6835518
DEBUG 2024-11-09 03:54:27,589 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1729716376.900559
DEBUG 2024-11-09 03:54:27,589 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\asyncio\protocols.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,589 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1729716376.2347958
DEBUG 2024-11-09 03:54:27,589 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1729716283.718434
DEBUG 2024-11-09 03:54:27,589 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\DLLs\_lzma.pyd first seen with mtime 1712087000.0
DEBUG 2024-11-09 03:54:27,589 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1729716376.688881
DEBUG 2024-11-09 03:54:27,595 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\bz2.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,595 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\apps\config.py first seen with mtime 1729716370.7692342
DEBUG 2024-11-09 03:54:27,597 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\linecache.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,597 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\re\_compiler.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,599 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\asyncio\selector_events.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,599 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\http\__init__.py first seen with mtime 1729716377.1345022
DEBUG 2024-11-09 03:54:27,600 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\signal.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,601 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1729716372.6847663
DEBUG 2024-11-09 03:54:27,601 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\inspect.py first seen with mtime 1729716377.2512233
DEBUG 2024-11-09 03:54:27,603 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1729716377.301293
DEBUG 2024-11-09 03:54:27,603 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\secrets.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,603 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\calendar.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,605 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\email\_parseaddr.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,605 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1729716370.3859525
DEBUG 2024-11-09 03:54:27,605 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1729716369.3852603
DEBUG 2024-11-09 03:54:27,605 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\asyncio\exceptions.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,605 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\_markupbase.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,605 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\backends\django.py first seen with mtime 1729716377.1679204
DEBUG 2024-11-09 03:54:27,605 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1729716376.9048042
DEBUG 2024-11-09 03:54:27,605 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\__init__.py first seen with mtime 1729716377.1512322
DEBUG 2024-11-09 03:54:27,609 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1729716376.7005973
DEBUG 2024-11-09 03:54:27,609 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1729716372.6745458
DEBUG 2024-11-09 03:54:27,609 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1729716377.1846132
DEBUG 2024-11-09 03:54:27,609 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\utils\functional.py first seen with mtime 1729716377.2345111
DEBUG 2024-11-09 03:54:27,609 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\email\mime\__init__.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,609 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\json\scanner.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,609 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1729716377.1846132
DEBUG 2024-11-09 03:54:27,609 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1729716371.4515066
DEBUG 2024-11-09 03:54:27,609 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\urls\base.py first seen with mtime 1729716377.2012715
DEBUG 2024-11-09 03:54:27,609 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\ctypes\wintypes.py first seen with mtime 1712086974.0
DEBUG 2024-11-09 03:54:27,618 autoreload File G:\Development\hh_test_01\hh_test\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1729716376.6513376
DEBUG 2024-11-09 03:54:27,618 autoreload File C:\Users\bilal\AppData\Local\Programs\Python\Python311\Lib\warnings.py first seen with mtime 1712086974.0
